,RFxName,RFx_Received_Date__c,RFx_Type__c,Industry_x__c,Opportunity__c,AccountName,Division__c,USD_Price__c,StageName,Industry__c,Account_Country__c,Type,Name
213,Video IA RFP,2020-07-09 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000015XjIFAA0,CEREMA-Video IA -  Magellan/Hendricks,Analytics & AI Sales,306855.4,Dropped,Government - Federal,FR,New Customer,Sales
214,Evonik - RFI xECM,2020-10-16 00:00:00.0000000,RFI (Request for Information),,0063z000012iIcLAAU,Evonik - ECMS_Worldwide,Enterprise Content Services,304577.69,5. Propose Solution,Chemicals,DE,Existing Customer - More Capacity,Sales
215,Warburtons HR DMS RFpP,2020-07-29 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000013j8dYAAQ,Warburtons - Document Management for SFSF - SAP Royalty,Enterprise Content Services,304555.24,Lost,Food & Beverage Manufacturing,GB,SAP driven by SAP,Cloud
216,Franklin County - Legacy Case Management System Replacement,2020-08-07 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015ZcRMAA0,"Franklin County Department of Aging-- Appworks , xECM",US Public Sector Sales,304445.5,Lost,Government - Local,US,New Customer,Sales
217,Google LLC - APAC Electronic Document Management System (EDMS),2020-11-11 00:00:00.0000000,RFI (Request for Information),Computer Software,0063z000016C6sNAAS,Google APAC  - EDMS,APAC Sales,301700.09,5. Propose Solution,Professional Services,IN,Existing Customer - More Capacity,Sales
218,Google LLC- Document Management System (EDMS) Solution,2021-01-14 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000016C6sNAAS,Google APAC  - EDMS,APAC Sales,301700.09,5. Propose Solution,Professional Services,IN,Existing Customer - More Capacity,Sales
219,Standard Chart Bank eDiscov RFI,2020-12-03 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000016Y4ZlAAK,Standard Chartered Bank (SCB)- Axcelerate Cloud - Managed Document Review- Volume TBD RFI,LegalTech Sales,300002.44,Lost,Banking,GB,New Customer,Sales
220,United States Special Operations Command (USSOCOM) - Custom Computer Programming,2021-01-06 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016YnqTAAS,NGA/DataIntegrityWhitePaper/e-Discovery Forensic/LP3 Scott Butch/All Domain/LP3,US Public Sector Sales,300000.0,2. Gain Access,Defense & Intelligence,US,New Customer,Sales
221,Snohomish County - eDiscovery,2020-07-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015Xqa3AAC,Snohomish County Department of IT-discovery,US Public Sector Sales,300000.0,4. Develop Solution,Government - Local,US,Existing Customer - New Functionality,Sales
222,Lubrizol - MS,2020-08-05 00:00:00.0000000,RFP (Request for Proposal),,0063z000014xQ2OAAU,Lubrizol-B2B,Business Network,300000.0,Dropped,Chemicals,US,New Customer,Cloud
223,Ventura Foods - MS AO AI,2021-01-25 00:00:00.0000000,RFI (Request for Information),,006D000000zourrIAA,Ventura Foods MS Canada,Business Network,298200.0,5. Propose Solution,Food & Beverage Manufacturing,US,Existing Customer - New Functionality,Cloud
224,Wilmar Sugar - xECM RFP,2020-08-03 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000014YQkMAAW,Wilmar Sugar - xECM,APAC Sales,296351.67,Dropped,Food & Beverage Manufacturing,AU,SAP driven by OTC,Cloud
225,Emerson Electric - Intelligent OCR,2020-07-15 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015YDYqAAO,Emerson Electric-Smart OCR + Magellan,Analytics & AI Sales,293310.0,Dropped,Industrial Manufacturing,US,New Customer,Sales
226,Bristol-Myers Squibb Company - SAP Invoice Management,2021-02-05 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000014xEm4AAE,BMS - VIM (w/SAP),Enterprise Content Services,288562.5,5. Propose Solution,Healthcare,US,SAP driven by SAP,Sales
227,City of Lethbridge - Records Management System,2021-01-20 00:00:00.0000000,RFQ (Request for Quote),Public Sector,0063z000016aFRlAAM,City Of Lethbridge-Records Management RFP,Enterprise Content Services,286202.87,Dropped,Government - Local,CA,New Customer,Sales
228,"Ministère du Travail, de l’Emploi et de la Solidarité sociale (MTESS)",2020-12-10 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016YcC3AAK,MTESS-Captiva,Enterprise Content Services,283786.48,Dropped,Government - Federal,CA,Existing Customer - New Functionality,Sales
229,Hornbach - OTMM - 31.08.2020 - GK,2020-09-01 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z0000168I5AAAU,Hornbach - OTMM - 31.08.2020 - GK,CEM Sales,278914.71,Lost,Retail,DE,New Customer,Sales
230,BC Office of the AG - Digital Evidence and Disclosure Management,2020-09-15 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000012ijFnAAI,BC Gov - Justice Department xecm for Government,Enterprise Content Services,278368.62,Dropped,Government - Federal,CA,New Customer,Sales
231,Sellafield DAM RFI,2021-01-15 00:00:00.0000000,RFI (Request for Information),,0063z000016ZuZPAA0,Sellafield_OTMM CE_2021,CEM Sales,278035.78,Dropped,Chemicals,GB,Existing Customer - New Functionality,Cloud
232,Repsol - MS AIC,2021-02-25 00:00:00.0000000,RFP (Request for Proposal),,0063z000016b4NXAAY,Repsol_MS,Business Network,277798.79,5. Propose Solution,Oil & Gas,ES,Existing Customer - New Functionality,Cloud
233,Ardagh – xECM for SFSF – SAP Royalty,2020-08-20 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000012QWHRAA4,Ardagh – xECM for SFSF – SAP Royalty,Enterprise Content Services,274829.76,Won and Closed,Management of Companies & Enterprises,IE,SAP driven by SAP,Won and Closed
234,SARB xECM Implementation RFQ,2020-09-09 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z0000169vfPAAQ,SARB-ECM Platform Tender - Sep'20,Enterprise Content Services,273461.0,Won and Closed,Banking,ZA,Existing Customer - New Functionality,Won and Closed
235,Elkem,2020-08-26 00:00:00.0000000,RFP (Request for Proposal),,0063z000015Yy9XAAS,Elkem Silicones France MS AIC,Business Network,271874.6,Lost,Chemicals,FR,New Customer,Cloud
236,The J.M. Smucker Co - Routing Tool,2020-10-01 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000016A6ErAAK,J.M. Smucker- MLR,CEM Sales,271190.0,Dropped,Food & Beverage Manufacturing,US,New Customer,Sales
237,Irvine Company - Digital File Software,2020-09-28 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000010MzOjAAK,The Irvine Company LLC- xECM for SFSF,Enterprise Content Services,270000.0,Lost,"Real Estate, Rental & Leasing",US,SAP driven by SAP,Cloud
238,Los Angeles County Sanitation Districts - Managed Security Services,2020-09-10 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z0000169jvXAAQ,LASD - 1000 EAP - RFP,Professional Services,265500.0,B. Gain Access,Waste Management & Remediation Services,US,,Global Services
239,Independence Grp - Hayes IS EOI,2020-11-23 00:00:00.0000000,EOI (Expression of Interest),Utilities,0063z000016XuF3AAK,Independence Grp - Hayes IS EOI,APAC Sales,264600.0,Dropped,Metals & Mining,AU,New Customer,Sales
240,Sandvik Materials Technology - TGMS AIC,2021-01-28 00:00:00.0000000,RFP (Request for Proposal),,0063z000016C0peAAC,Sandvik Materials Technology-,Business Network,260889.3,Dropped,Industrial Manufacturing,SE,New Customer,Cloud
241,Department of Public Safety of the State of Texas Solicitation -  ScanPro,2021-01-11 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016a85EAAQ,ASO-WST-Texas Department of Public Safety- Microfilm Scanner RFO,Professional Services,260000.0,B. Gain Access,"Government - Justice, Public Order, and Safety",US,,Global Services
242,Farm Credit Canada - E-Signature Solution,2020-10-08 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016ARPDAA4,FCC - RFP - eSignature,Enterprise Content Services,259822.56,Lost,Banking,CA,Existing Customer - New Functionality,Cloud
243,Quebec Ministry of Justice - Content Services Platform,2021-01-04 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZKKxAAO,MJQ - Content Services,Enterprise Content Services,259554.64,4. Develop Solution,Government - Federal,CA,New Customer,Sales
244,MOFA - Qatar eServices Portal RFP,2020-11-30 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013jHoPAAU,MoFA -Portal + eservices - DCX,Enterprise Content Services,257822.38,5. Propose Solution,Government - Federal,QA,New Customer,Sales
245,TEAG_Digitale Personalakte_Aug2020,2020-08-19 00:00:00.0000000,RFP (Request for Proposal),Utilities,0063z000015a3rqAAA,TEAG_Digitale Personalakte,Enterprise Content Services,254626.95,Dropped,Utilities,DE,Existing Customer - New Functionality,Sales
246,Bayer AG - CSRM – Rapid Endpoint Threat Analytics  (RETA),2021-01-18 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000014WVtwAAG,*Monsanto/Bayer - EnCase - EI - 140K EB21,Security Sales,252975.0,5. Propose Solution,Chemicals,US,Existing Customer - New Functionality,Sales
247,State of Hawai'i Public Utilities Commission - Case and Document Management Syst,2020-11-15 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016Bh9cAAC,State of Hawaii Public Utilities Commission-Case Mgt,US Public Sector Sales,252000.0,Dropped,Government - State/Provincial,US,New Customer,Sales
248,NAO - Case Management - EOI,2020-12-25 00:00:00.0000000,EOI (Expression of Interest),Public Sector,0063z000014YSseAAG,NAO - Case Management for Financial Audits - DigiGov,Enterprise Content Services,250174.74,2. Gain Access,Government - Federal,GB,New Customer,Sales
249,Canada Mortgage and Housing Corp - MFT BizM,2020-10-12 00:00:00.0000000,RFP (Request for Proposal),,0063z000016AWpUAAW,CMHC- MFT,Business Network,250000.0,Dropped,Government - Federal,CA,New Customer,Cloud
250,Nestle RFP,2020-11-16 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000016XWZCAA4,Nestle BoL RFP,Business Network,250000.0,5. Propose Solution,Food & Beverage Manufacturing,CH,Existing Customer - More Capacity,Cloud
251,ESL Federal Credit Union - Enterprise Document Management System,2021-03-15 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000017d1A5AAI,ESL Federal Credit Union - xECM - Alitek - Engaged,Indirect Sales,246470.0,4. Develop Solution,Banking,US,New Customer,Sales
252,Olympus Europa - LTA - Core for Archive,2020-10-09 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z0000169VpMAAU,Olympus Europa - LTA - Core for Archive,Enterprise Content Services,245868.01,5. Propose Solution,Healthcare,DE,Existing Customer - New Functionality,Cloud
253,Olympus RFP Long Time Archiving Solution,2020-09-16 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z0000169VpMAAU,Olympus Europa - LTA - Core for Archive,Enterprise Content Services,245868.01,5. Propose Solution,Healthcare,DE,Existing Customer - New Functionality,Cloud
254,Social Security Administration - Records Management,2021-03-04 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017dWqiAAE,SSA/Records Mgmt RFI,US Public Sector Sales,245552.14,3. Establish Needs,Government - Federal,US,New Customer,Sales
255,Knauf - AO IWF,2020-12-15 00:00:00.0000000,RFP (Request for Proposal),,0063z000016YmwVAAS,Knauf - Web-EDI,Business Network,244078.84,4. Develop Solution,Management of Companies & Enterprises,DE,New Customer,Cloud
256,Sachsen Energie GmbH - Letter Processing,2021-01-28 00:00:00.0000000,ITT (Invitation to Tender),Utilities,0063z000013jZzoAAE,Sachsen Energie GmbH - Letter Processing,Analytics & AI Sales,243447.4,2. Gain Access,Utilities,DE,Existing Customer - New Functionality,Sales
257,Knauf - AIC,2021-01-20 00:00:00.0000000,RFI (Request for Information),,0063z000016aFGnAAM,Knauf - RFI B2G e-Invoicing,Business Network,242530.42,Lost,Management of Companies & Enterprises,DE,New Customer,Cloud
258,Bayer - MS AO,2021-01-20 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000016aFHqAAM,Bayer - RFI CMO Collaboration Platform,Business Network,242530.42,Lost,Healthcare,DE,New Customer,Cloud
259,Vodafone - DAM - RFI,2020-07-21 00:00:00.0000000,EOI (Expression of Interest),Telecommunications,0063z000015YSMpAAO,Vodafone LUX_DAM,CEM Sales,241962.86,Dropped,Telecommunications,LU,New Customer,Sales
260,Vodafone - DAM - RFI,2020-07-07 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000015YSMpAAO,Vodafone LUX_DAM,CEM Sales,241962.86,Dropped,Telecommunications,LU,New Customer,Sales
261,Stadtwerke München GmbH - MS,2021-01-21 00:00:00.0000000,RFP (Request for Proposal),Utilities,0063z000014Y9r8AAC,Stadtwerke München GmbH - EDI,Business Network,241564.17,3. Establish Needs,Utilities,DE,New Customer,Cloud
262,Zurich North America (ZNA) - Document Intake Automation,2020-10-01 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000016AEweAAG,Zurich NA - Intelligent Capture,Enterprise Content Services,241500.0,4. Develop Solution,Insurance,US,Existing Customer - New Functionality,Sales
263,Contract lifecycle RFP,2020-10-09 00:00:00.0000000,RFQ (Request for Quote),Manufacturing,0063z000016ASRMAA4,Novozymes A/S - Contract Management RFP,Enterprise Content Services,240366.6,Dropped,Life Sciences,DK,Existing Customer - New Functionality,Sales
264,MES Inc. MS,2021-02-26 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000017dRbSAAU,"MES, Inc  - MS",Business Network,240000.0,Dropped,Automotive,US,New Customer,Cloud
265,Kohl's Corporation - Digital Asset Management,2020-09-03 00:00:00.0000000,RFI (Request for Information),Retail,0063z000015aAPAAA2,Kohl's- OTMM,CEM Sales,240000.0,4. Develop Solution,Retail,US,New Customer,Cloud
266,"National DCP, LLC - SAP Document Storage Link",2020-11-11 00:00:00.0000000,RFQ (Request for Quote),Consumer Packaged Goods,0063z000016BtP0AAK,National DCP - information management,Enterprise Content Services,237888.75,4. Develop Solution,Transportation & Distribution,US,Existing Customer - New Functionality,Sales
267,Merck KgaA - MS TGMS AIC,2020-10-26 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000016BJrmAAG,Merck KGaA - B2G eInvoicing,Business Network,236277.42,Lost,Healthcare,DE,Existing Customer - New Functionality,Cloud
268,NDA - Infoarchive - Market Engagement RFI,2020-10-08 00:00:00.0000000,RFI (Request for Information),Aerospace & Defense,0063z000010ME1rAAG,NDA - InfoArchive .,Enterprise Content Services,234792.58,3. Establish Needs,Oil & Gas,GB,Existing Customer - New Functionality,Sales
269,Giant Eagle - eDiscovery,2021-03-24 00:00:00.0000000,RFI (Request for Information),Consumer Packaged Goods,0063z000017dDjRAAU,Giant Eagle- ED- 30K nodes_BCK3,Security Sales,234000.0,3. Establish Needs,Food & Beverage Manufacturing,US,Existing Customer - New Functionality,Sales
270,Quebec Building Authority - File Management,2020-09-23 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z0000169YYaAAM,Régie du bâtiment du Québec-xECM,Enterprise Content Services,232510.03,2. Gain Access,Government - State/Provincial,CA,New Customer,Sales
271,Knorr Bremse - CoreSignature,2020-11-23 00:00:00.0000000,RFP (Request for Proposal),,0063z000016XYL2AAO,Knorr Bremse - CoreSignature,Enterprise Content Services,231479.05,2. Gain Access,Industrial Manufacturing,DE,Existing Customer - New Functionality,Cloud
272,Commonwealth War Graves Commission - OTMM_2020 - RFP,2020-10-05 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016AGWOAA4,CWGC_OTMM_2020,CEM Sales,230000.0,Lost,Government - Federal,GB,New Customer,Cloud
273,Logitech International S.A. - Accounts Payable Invoice & Customer Claims Automat,2020-11-04 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000016A9pgAAC,LOGITECH INC-SIMS,Enterprise Content Services,225575.64,Lost,High Tech,US,Existing Customer - More Capacity,Sales
274,Apotex Inc. - ESignature,2020-10-20 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000016AelgAAC,Apotex - Core SaaS - Cloned,Enterprise Content Services,224383.21,Dropped,Healthcare,CA,Existing Customer - New Functionality,Cloud
275,"Birmingham City Council- InfoArchive, App Decomission - Soft Market Test RFI",2020-09-23 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000012iKpbAAE,"Birmingham City Council- InfoArchive, App Decomission",Enterprise Content Services,224088.78,Dropped,Government - Local,GB,Existing Customer - New Functionality,Sales
276,ENI - AXC - ON-Prem - RFI,2021-02-08 00:00:00.0000000,RFI (Request for Information),Energy,0063z0000169XIbAAM,FOCUSED - ENI/RFI - AXC on Prem,LegalTech Sales,222861.69,4. Develop Solution,Oil & Gas,IT,New Customer,Sales
277,Plains All American Pipeline - Technical Document Management Process,2021-02-01 00:00:00.0000000,RFI (Request for Information),Distribution & Transportation,0063z000016awJqAAI,Plains All American Pipeline - Content Management (Bear),Enterprise Content Services,220502.1,5. Propose Solution,Oil & Gas,US,Existing Customer - New Functionality,Sales
278,Plains All American Pipeline - Technical Document Management Process,2021-03-26 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016awJqAAI,Plains All American Pipeline - Content Management (Bear),Enterprise Content Services,220502.1,5. Propose Solution,Oil & Gas,US,Existing Customer - New Functionality,Sales
279,Blue Shield of California - Tech Transformation,2020-11-11 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000016BKq6AAG,BSCA ~ RFI Digital Transformation,Enterprise Content Services,218400.0,4. Develop Solution,Non-Profit Agencies & Charities,US,Existing Customer - More Capacity,Sales
280,Bank of America - Text Analytics,2020-11-04 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000014xlBWAAY,BoA - Banking App Review Solution,Analytics & AI Sales,216000.0,Lost,Banking,US,Existing Customer - New Functionality,Sales
281,WIPO - RFP/RFQ,2021-02-18 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z0000139BmCAAU,WIPO - Teamsite,CEM Sales,213867.32,2. Gain Access,"Religious, Grantmaking & Civic Organizations",CH,New Customer,Sales
282,BNPP Fortis - Teamsite Expert Services Mar Dec 2021 - Compliance RFI,2021-03-09 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000017cVT0AAM,BNPP Fortis - Teamsite Expert Services Mar Dec 2021,Professional Services,208349.09,G. Booked,Banking,BE,Existing Customer/Expand Existing Solution,Global Services
283,VW-VW-OTLG ▶︎ 🏛 xECM4SFSF,2020-09-28 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000016A4JNAA0,VW-VW-OTLG ▶︎ 🏛 xECM4SFSF ⏳,Enterprise Content Services,207112.83,Dropped,Automotive,DE,New Customer,Sales
284,Philam Life Notifications Core,2020-11-03 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000013hdxWAAQ,PhilamLife-email-insights,APAC Sales,207000.0,4. Develop Solution,Insurance,PH,Existing Customer - More Capacity,Cloud
285,MacArthur Foundation - TeamSite,2020-07-23 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000015XnjTAAS,MacArthur Foundation - TeamSite,Indirect Sales,206238.0,Lost,Non-Profit Agencies & Charities,US,Existing Customer - New Functionality,Sales
286,Cooper Energy DMS (xECM) RFQ,2020-11-02 00:00:00.0000000,RFQ (Request for Quote),Energy,0063z0000138To6AAE,Cooper Energy - xECM - Term License,APAC Sales,202848.32,5. Propose Solution,Oil & Gas,AU,New Customer,Sales
287,NDA - Claritas Onboarding Questionnaire,2021-02-19 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016YOuGAAW,NDA 300 CSP,Enterprise Content Services,201118.52,Won and Closed,Oil & Gas,GB,Existing Customer - More Capacity,Won and Closed
288,Albuquerque Public Schools - School Website Content Management,2020-09-14 00:00:00.0000000,RFP (Request for Proposal),Education,0063z00001697omAAA,Albuquerque Public Schools - TeamSite,US Public Sector Sales,200000.0,Lost,Education,US,Existing Customer - New Functionality,Sales
289,Consumers Energy Company - Enterprise Corrective Action Program,2020-12-22 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016AsmtAAC,Consumers - Kinematik CAPA Modules - Direct,Enterprise Content Services,200000.0,5. Propose Solution,Utilities,US,Existing Customer - New Functionality,Sales
290,"Doña Ana County, State of New Mexico - Document Imaging Services",2021-03-16 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017e3vTAAQ,"ASO-WST-County of Dona Ana, NM-Scanning",Professional Services,199828.0,D. Develop Solution,Government - State/Provincial,US,,Global Services
291,Cooperative Energy - Extended ECM for Engineering (xECM Eng),2020-08-11 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015ZGg2AAG,Cooperative Energy (xECM Engr/O365),US Public Sector Sales,196252.98,4. Develop Solution,Utilities,US,New Customer,Sales
292,HIL xECM SF + xGov RFP,2020-09-07 00:00:00.0000000,RFP (Request for Proposal),,0063z0000168q0hAAA,HIL xECM SF + xGov RFP,Enterprise Content Services,195519.56,Won and Closed,Repair & Maintenance,DE,Existing Customer - New Functionality,Won and Closed
293,Microsoft Corporation - MS-9635 Brand Central Technology Solution,2021-02-25 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000016bONoAAM,Microsoft-Brand Portal,CEM Sales,195000.0,4. Develop Solution,Professional Services,US,Existing Customer - New Functionality,Sales
294,Tower Hamlet - Hybrid  Mail & Scanning Services - RFI,2020-07-29 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015Z5OOAA0,Tower Hamlet - Hybrid  Mail & Scanning Services,Enterprise Content Services,191777.43,Dropped,Government - Federal,GB,New Customer,Sales
295,Sabris - CZ - Česka pošta - CSP,2020-08-10 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015aCnpAAE,Sabris - CZ - Česka pošta - CSP,Enterprise Content Services,190965.46,Lost,Transportation & Distribution,CZ,New Customer,Sales
296,Alberta Energy Regulator - Content Migration,2020-07-23 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015YlguAAC,AER - RFP - Migration to SharePoint (20RFP-CS008),Professional Services,188864.78,Lost,Government - Federal,CA,,Global Services
297,Leibniz-Institut für Raumbezogene Sozialforschung - OTMM - RFI,2020-10-15 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016AjrTAAS,Leibniz IRS - OTMM - 15.10.2020 - GK,CEM Sales,188429.95,Dropped,Education,DE,New Customer,Sales
298,MBIE - MS,2020-12-11 00:00:00.0000000,RFP (Request for Proposal),,0063z0000139En9AAE,MBIE - Peppol eInvoicing Panel,APAC Sales,185108.73,Dropped,Government - Federal,NZ,Existing Customer - New Functionality,Cloud
299,First Nations Health Authority - Content Suite,2020-08-13 00:00:00.0000000,RFP (Request for Proposal),Healthcare,006D0000010iXRcIAM,First Nations - content Manager Phase 2,Enterprise Content Services,184307.22,Won and Closed,Healthcare,CA,Existing Customer - More Capacity,Won and Closed
300,Leifheit - ECM RFP,2021-03-15 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000017dYNAAA2,Leifheit - ECM RFP,Indirect Sales,184134.7,4. Develop Solution,Industrial Manufacturing,DE,New Customer,Sales
301,Welsh Government - ECM - RFP,2020-10-22 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z0000169ZtAAAU,WG - CLOUD EDITION CSP for PINS migration,Enterprise Content Services,181372.84,Lost,Government - Federal,GB,New Customer,Cloud
302,Welsh Government - ECM - RFP,2020-11-16 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z0000169ZtAAAU,WG - CLOUD EDITION CSP for PINS migration,Enterprise Content Services,181372.84,Lost,Government - Federal,GB,New Customer,Cloud
303,NEOM CIty Digital Transformation RFI,2020-07-08 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015XvHZAA0,NEOM - XECM,Enterprise Content Services,179760.0,4. Develop Solution,Government - Local,SA,New Customer,Sales
304,BIA EDMS Original Tender,2020-10-15 00:00:00.0000000,RFQ (Request for Quote),Public Sector,0063z00001682ceAAA,Brunei Investment Agency-Capture/ECM (JSY),APAC Sales,179289.93,Dropped,Banking,BN,New Customer,Sales
305,MOTC Contract Centre,2020-11-20 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013720eAAA,MOTC-Contracts Center - DCX,Enterprise Content Services,178502.0,5. Propose Solution,Government - Federal,QA,Existing Customer - New Functionality,Sales
306,Equinix Inc. - Electronic Employee Document Management System,2020-11-20 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000016ARKXAA4,Equinix ~ (Lic) RFP for E-ECM for HR Workday,Enterprise Content Services,176941.98,Dropped,"Real Estate, Rental & Leasing",US,New Customer,Sales
307,Equinix Inc. - Electronic Employee Document Management System,2020-10-09 00:00:00.0000000,RFI (Request for Information),Computer Software,0063z000016ARKXAA4,Equinix ~ (Lic) RFP for E-ECM for HR Workday,Enterprise Content Services,176941.98,Dropped,"Real Estate, Rental & Leasing",US,New Customer,Sales
308,SaskEnergy Incorporated - OpenText InfoArchive Implementation,2020-11-05 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016Bx36AAC,SaskEnergy - RFP (SX6669) InfoArchive,Professional Services,176683.07,D. Develop Solution,Utilities,CA,Existing Customer/New Solution,Global Services
309,INEOS Automotive DMS RFP,2021-01-29 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000016aJ3lAAE,Ineos Automotive - xECM,Enterprise Content Services,176149.69,4. Develop Solution,Automotive,GB,Existing Customer - New Functionality,Sales
310,ÖBH - OTMM - RFP,2020-10-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z0000136so1AAA,ÖBH - OTMM,CEM Sales,176026.68,Lost,Government - Federal,AT,Existing Customer - New Functionality,Sales
311,Ultragenyx Pharmaceutical Inc. - Engineering Documents Repository (EDR),2020-10-21 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000016B6u7AAC,Ultragenyx - xECM for Engineering - VDR,Indirect Sales,171040.02,Lost,Life Sciences,US,New Customer,Sales
312,DAM for ZF,2021-02-23 00:00:00.0000000,RFI (Request for Information),,0063z000016YQqbAAG,DAM for ZF,CEM Sales,168337.37,Lost,Industrial Manufacturing,DE,Existing Customer - New Functionality,Sales
313,"Community College of Baltimore County, Maryland - Electronic Workflow and Forms",2021-02-12 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000017dDQZAA2,Community College of Baltimore County - RFP - AppWorks - Solusoft,US Public Sector Sales,168171.61,3. Establish Needs,Education,US,New Customer,Sales
314,SFS - RfI Global Ticketing System,2020-10-26 00:00:00.0000000,RFI (Request for Information),,0063z000016BQSlAAO,SFS - RfI Global Ticketing System,Enterprise Content Services,167146.27,Lost,Banking,DE,Existing Customer - New Functionality,Sales
315,Transport NSW eDiscovery,2020-10-29 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016AWceAAG,Transport for NSW - eDiscovery,APAC Sales,166746.14,6. Secure Agreement,Transportation & Distribution,AU,Existing Customer - New Functionality,Sales
316,Great American Insurance Company - Agent and Insured Portals,2021-01-12 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000016ZqRrAAK,GAIC DXP RFI,CEM Sales,165462.0,Dropped,Insurance,US,Existing Customer - New Functionality,Sales
317,Domtar - Vendor Invoice Management (VIM) and Archiving Solution,2020-10-09 00:00:00.0000000,RFQ (Request for Quote),Manufacturing,0063z000011O1QZAA0,CAN (EAST) - Domtar VIM Proposal - RFP,Professional Services,164781.95,Dropped,Consumer Goods,CA,Existing Customer/New Solution,Global Services
318,OCR VIM DocAccess RFP,2020-09-04 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000013inYGAAY,Sodiaal - OCR VIM DocAccess - SAP Royalty,Enterprise Content Services,161092.16,Lost,Professional Services,FR,SAP driven by SAP,Sales
